,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,3,38,38,"3,417",38.0,39,1.03,129,93,71.3,18,7,13,12,31.6,3,2,1,0,33.3
Aston Villa,1,38,38,"3,420",38.0,46,1.21,186,133,78.0,16,7,15,15,39.5,6,5,1,0,16.7
Brighton,2,38,38,"3,420",38.0,46,1.21,125,81,68.0,9,14,15,12,31.6,7,6,0,1,0.0
Burnley,3,38,38,"3,420",38.0,55,1.45,179,125,70.9,10,9,19,11,28.9,3,3,0,0,0.0
Chelsea,3,38,38,"3,420",38.0,36,0.95,107,71,69.2,19,10,9,18,47.4,4,3,1,0,25.0
Crystal Palace,2,38,38,"3,420",38.0,66,1.74,174,107,63.8,12,8,18,8,21.1,4,3,1,0,25.0
Everton,3,38,38,"3,420",38.0,48,1.26,161,114,72.0,17,8,13,12,31.6,4,3,0,1,0.0
Fulham,2,38,38,"3,420",38.0,53,1.39,170,118,72.9,5,13,20,9,23.7,7,7,0,0,0.0
Leeds United,2,38,38,"3,420",38.0,54,1.42,198,145,76.8,18,5,15,12,31.6,9,8,1,0,11.1
Leicester City,1,38,38,"3,420",38.0,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0
Liverpool,3,38,38,"3,420",38.0,42,1.11,140,97,72.9,20,9,9,12,31.6,8,4,1,3,20.0
Manchester City,3,38,38,"3,420",38.0,32,0.84,100,67,76.0,27,5,6,19,50.0,10,8,2,0,20.0
Manchester Utd,2,38,38,"3,420",38.0,44,1.16,141,98,71.6,21,11,6,13,34.2,4,4,0,0,0.0
Newcastle Utd,2,38,38,"3,420",38.0,62,1.63,188,128,69.1,12,9,17,7,18.4,5,4,1,0,20.0
Sheffield Utd,1,38,38,"3,420",38.0,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0
Southampton,2,38,38,"3,420",38.0,68,1.79,178,110,66.3,12,7,19,9,23.7,9,8,1,0,11.1
Tottenham,1,38,38,"3,420",38.0,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0.0
West Brom,2,38,38,"3,420",38.0,76,2.00,240,166,71.3,5,11,22,6,15.8,11,7,1,3,12.5
West Ham,2,38,38,"3,420",38.0,47,1.24,147,103,70.1,19,8,11,11,28.9,5,3,1,1,25.0
Wolves,2,38,38,"3,420",38.0,52,1.37,152,102,70.4,12,9,17,10,26.3,8,7,1,0,12.5
